board_or_affiliation,candidate_id,cgpa_normalized,degree_level,degree_title,institution_name,percentage_normalized,performance_note,raw_result,specialization,year_end,year_start
,2,,BS / BSc,Bachelor of Science in Data Science,,,,Bachelor of Science in Data Science,,,
,2,,HSSC / Intermediate,"Machine Learning, Deep Learning, Statistical Inference, Probability & Statistics, Linear Algebra, Data Structures & Algorithms,",,,,"Machine Learning, Deep Learning, Statistical Inference, Probability & Statistics, Linear Algebra, Data Structures & Algorithms,",,,
,2,,MS / MPhil,"NUST LMS Team, Islamabad",,,,"NUST LMS Team, Islamabad",,,
